"Student","StepID","Correct","KC_1","KC_2","KC_3","KC_4","KC_5"
"stu10",3106,1,0,1,0,0,0
"stu10",3108,0,0,1,0,0,0
"stu10",3109,1,0,1,0,0,0
"stu10",3111,1,0,1,0,0,0
"stu10",3112,1,0,1,0,0,0
"stu10",3122,1,0,1,0,0,0
"stu10",3133,1,0,1,0,0,0
"stu10",3138,0,0,1,0,0,0
"stu10",3139,1,0,1,0,0,0
"stu10",3145,1,1,0,0,0,0
"stu10",3161,1,0,1,0,0,0
"stu10",3162,1,0,1,0,0,0
"stu10",3166,1,0,1,0,0,0
"stu10",3198,0,0,0,1,0,0
"stu10",3199,1,0,0,1,0,0
"stu10",3213,1,0,0,1,0,0
"stu10",3218,1,0,0,0,0,0
"stu10",3225,1,0,0,0,0,0
"stu10",3239,1,0,0,0,0,0
"stu10",3265,1,0,0,0,0,0
"stu10",3268,1,0,0,0,0,0
"stu10",3270,1,0,0,0,0,0
"stu10",3281,1,0,0,0,0,0
"stu10",3317,1,0,0,0,0,0
"stu10",3330,1,0,0,0,0,0
"stu10",3340,1,0,0,0,0,0
"stu10",3343,1,0,0,0,0,0
"stu10",3346,1,0,0,0,0,0
"stu10",3349,1,0,0,0,0,0
"stu10",3355,1,0,0,0,0,0
"stu10",3358,1,0,0,0,0,0
"stu10",3367,0,0,0,0,0,0
"stu10",3368,1,0,0,0,0,0
"stu10",3384,1,0,0,0,0,0
"stu10",3385,0,0,0,0,0,0
"stu10",3386,1,0,0,0,0,0
"stu10",3388,1,0,0,0,0,0
"stu10",3389,1,0,0,0,0,0
"stu10",3390,1,0,0,0,0,0
"stu10",3397,1,0,0,0,0,0
"stu10",3416,1,0,0,0,0,0
"stu10",3418,1,0,0,0,0,0
"stu10",3432,1,0,0,0,0,0
"stu10",3433,0,0,0,0,0,0
"stu10",3434,1,0,0,0,0,0
"stu10",3452,0,0,0,0,0,0
"stu10",3454,1,0,0,0,0,0
"stu10",3464,0,0,0,0,0,0
"stu10",3466,1,0,0,0,0,0
"stu10",3469,0,0,0,0,0,0
"stu10",3470,1,0,0,0,0,0
"stu10",3471,1,0,0,0,0,0
"stu10",3479,1,0,0,0,0,0
"stu10",3483,0,0,0,0,0,0
"stu10",3485,1,0,0,0,0,0
"stu10",3488,1,0,0,0,0,0
"stu10",3494,1,0,0,0,0,0
"stu10",3504,0,0,0,0,0,0
"stu10",3505,1,0,0,0,0,0
"stu10",3543,0,0,0,0,0,0
"stu10",3544,1,0,0,0,0,0
"stu10",3645,1,0,0,0,0,0
"stu10",3646,0,0,0,0,0,0
"stu10",3649,1,0,0,0,0,0
"stu10",3650,0,0,0,0,0,0
"stu10",3651,1,0,0,0,0,0
"stu10",3655,1,0,0,0,0,0
"stu10",3658,0,0,0,0,0,0
"stu10",3663,1,0,0,0,0,0
"stu10",3680,1,0,0,0,0,0
"stu10",3683,1,0,0,0,0,0
"stu10",3686,1,0,0,0,0,0
"stu10",3689,1,0,0,0,0,0
"stu10",3692,1,0,0,0,0,0
"stu10",3696,0,0,0,0,0,0
"stu10",3698,1,0,0,0,0,0
"stu10",3703,0,0,0,0,0,0
"stu10",3706,1,0,0,0,0,0
"stu10",3708,1,0,0,0,0,0
"stu10",3722,0,0,0,0,0,0
"stu10",3724,1,0,0,0,0,0
"stu10",3727,0,0,0,0,0,0
"stu10",3729,1,0,0,0,0,0
"stu10",3731,1,0,0,0,0,1
"stu10",3735,0,0,0,1,0,0
"stu10",3737,1,0,0,1,0,0
"stu10",3742,1,0,0,1,0,0
"stu10",3744,1,0,0,1,0,0
"stu10",3747,0,0,0,1,0,0
"stu10",3750,1,0,0,1,0,0
"stu10",3765,1,0,0,1,0,0
"stu10",3768,0,0,0,1,0,1
"stu10",3770,1,0,0,1,0,1
"stu10",3772,1,0,0,0,0,0
"stu10",3791,1,0,0,1,0,0
"stu10",3793,1,0,0,1,0,0
"stu10",3796,0,0,0,1,0,0
"stu10",3799,1,0,0,1,0,0
"stu10",3818,1,0,0,1,0,0
"stu10",3824,0,0,0,0,0,0
"stu10",3825,1,0,0,0,0,0
"stu10",3831,1,0,0,1,0,0
"stu10",3833,1,0,0,1,0,0
"stu10",3903,1,0,0,0,0,0
"stu10",3906,1,0,0,0,0,0
"stu10",3909,0,0,0,0,0,0
"stu10",3910,1,0,0,0,0,0
"stu10",3915,1,0,0,0,0,0
"stu10",3917,0,0,0,0,0,0
"stu10",3937,1,0,0,1,0,0
"stu10",3939,1,0,0,1,0,0
"stu10",3940,1,0,0,0,0,0
"stu10",3967,1,0,0,0,0,0
